"REFNO","ROCKUNITNO","ROCKNAME","PLACE","CONTINENT","TERRANE","RLAT","RLONG","ROCKTYPE","STRATA","STRATAGE","LATSPREAD","LOWAGE","HIGHAGE","METHOD","ISOTOPEDATA","STRUCTURE","STATUS"
"2691","5602","Gurktal Nappe Redbeds","Austria","Europe",,"46.7000008","14.6999998","sediments, redbeds",,"P",,"251","299","fossils",,,
"2693","5603","Jefferson City and Gasconade Dolomites","Missouri, U.S.A.","North America",,"38.5","-92.5","sediments, dolomites","Host rocks for barite deposits","O1",,"472","488","fossils",,,
"2694","5604","Murree Formation","NE Pakistan","Asia",,"34.2000008","73.5999985","sediments, redbeds","Early to mid-Eocene","E2",,"42","56","fossils",,,
"2695","5605","Orava-Magura Unit Sediments","Slovakia","Europe",,"49.4000015","19.2000008","sediments","Upper Paleocene to Middle Eocene","E1-2",,"42","60","fossils",,,
"2699","5606","Emeishan Basalt","Meigou, Sichuan Province, China","Asia","South China","28.2999992","103.0","extrusives, basalts","Longtanian age","P3",,"254","260","stratigraphic",,,
"2699","5607","Emeishan Basalt","Miyi, Sichuan Province, China","Asia","South China","26.7999992","101.800003","extrusives, basalts","Longtanian age","P3",,"254","260","stratigraphic",,"Close to Anninghe Fault",
"2700","5608","Emeishan Basalt","Emei, Sichuan Province, China","Asia","South China","29.6000004","103.5","extrusives, basalts","Longtanian age","P3",,"254","260","stratigraphic",,,
"2700","5609","Emeishan Basalt","Zhaojue, Sichuan Province, China","Asia","South China","28.1000004","102.900002","extrusives, basalts","Longtanian age","P3",,"254","260","stratigraphic",,,
"2700","5610","Emeishan Basalt","Yanguan, Sichuan Province, China","Asia","South China","27.6000004","101.900002","extrusives, basalts","Longtanian age","P3",,"254","260","stratigraphic",,,
"2701","5611","Shiqianfeng and Upper Shihezi Formations","Shanxi Province, China","Asia","North China","37.9000015","112.300003","sediments, redbeds, marls",,"P3",,"251","260","stratigraphic",,"Dips <10 degrees",
"2702","5612","Feixianguan Formation","Sichuan Province, China","Asia","South China","29.8999996","106.400002","sediments, red limestones",,"T1",,"245","251","stratigraphic",,,
"2702","5613","Triassic Limestones","Sichuan Province, China","Asia","South China","29.8999996","106.400002","sediments, red limestones","Feixianguan to Sujiaohe Formations (whole Triassic)","T",,"200","251","stratigraphic",,,
"2703","5614","Changxing Formation","Zhejiang Province, China","Asia","South China","31.0","119.699997","sediments, limestones",,"P3",,"251","254","fossils",,,
"2704","5615","Upper Shihezi Formation","Ordos Basin, Shaanxi Province, China","Asia","North China","39.0999985","110.0","sediments, redbeds",,"P3",,"251","260","stratigraphic",,"Monoclinal",
"2704","5616","Liujiagou Formation","Shanxi Province, China","Asia","North China","39.0999985","110.0","sediments, redbeds",,"T1",,"245","251","stratigraphic",,"Dips c.20 degrees",
"2705","5617","Upper Shihezi Formation","Shaanxi Province, China","Asia","North China","35.5","110.199997","sediments, sandstones",,"P3",,"251","260","stratigraphic",,"Monoclinal",
"2705","5618","Zhifang Formation","Ordos Basin, Shaanxi Province, China","Asia","North China","35.0999985","109.099998","sediments, redbeds",,"T2",,"228","245","stratigraphic",,,
"2706","5619","Yungan Formation","Ningwu Basin, Shanxi Province, China","Asia","North China","38.5999985","112.0","sediments, green quartzite",,"J2",,"161","176","stratigraphic",,,
"2706","5620","Zhifang Formation","Ningwu Basin, Shanxi Province, China","Asia","North China","38.5999985","112.0","sediments, redbeds",,"T2",,"228","245","stratigraphic",,,
"2706","5621","Heshangou and Liujiagou Formations","Ningwu Basin, Shanxi Province, China","Asia","North China","38.5999985","112.0","sediments",,"T1",,"245","251","stratigraphic",,"Monoclinal",
"2707","5622","Yanchan Group","Ordos Basin, Shaanxi Province, China","Asia","North China","35.0999985","109.0","sediments",,"T3",,"200","228","stratigraphic",,"Shallow dips",
"2707","5623","Liujiagou Formation","Ordos Basin, Shaanxi Province, China","Asia","North China","35.5","110.199997","sediments, redbeds",,"T1",,"245","251","stratigraphic",,"Monoclinal?",
"2707","5624","Upper Shihezi Formation","Ordos Basin, Shaanxi Province, China","Asia","North China","35.0999985","109.099998","sediments, redbeds",,"P3",,"251","260","stratigraphic",,"Dips <10 degrees",
"2708","5625","Zidan Group","Ordos Basin, Shaanxi Province, China","Asia","North China","35.0","108.0","sediments, redbeds",,"K1",,"100","147","stratigraphic",,"Dips <10 degrees",
"2709","5626","Mengyen Formation","Shandong Province, China","Asia","North China","35.7999992","117.5","sediments",,"J3",,"146","161","stratigraphic",,"West of Tanlu fault (but close)",
"2709","5627","Wulian Formation","Shandong Province, China","Asia","North China","35.7999992","119.199997","sediments",,"J3",,"146","161","stratigraphic",,,
"2709","5628","Houshan Formation","Shandong Province, China","Asia","North China","31.5","116.5","sediments",,"J3",,"146","161","stratigraphic",,,
"2710","5629","Zidan Group","Ordos Basin, Shaanxi Province, China","Asia","North China","36.5999985","109.0","sediments, redbeds",,"K1",,"100","146","stratigraphic",,"Dips <10 degrees",
"2710","5630","Zhifang Formation","Ordos Basin, Shaanxi Province, China","Asia","North China","35.2000008","109.0","sediments, redbeds",,"T2",,"228","245","stratigraphic",,"Monocline",
"2710","5631","Shiqianfeng and Liujiagou Formations","Ordos Basin, Shaanxi Province, China","Asia","North China","35.0","109.0","sediments, redbeds",,"P3-T1",,"245","260","stratigraphic",,"Monocline",
"2711","5632","Upper Cretaceous Redbeds","Sichuan Province, China","Asia","South China","29.8999996","103.099998","sediments, redbeds","Lushan, Yuguangpo and Jinjiguan Formations","K2",,"65","100","stratigraphic",,"Monocline",
"2712","5633","Shandong Basalts","Shandong Province, China","Asia","North China","36.4000015","118.800003","extrusives, basalts",,"N1","30 km","14","18","K-Ar","K-Ar ages 14-18 Ma","Yishi fracture zone. Horizontal strata",
"2713","5634","Xiaobu Formation","Sichuan Province, China","Asia","South China","26.6000004","102.400002","sediments, redbeds",,"K2",,"65","100","stratigraphic",,,
"2713","5635","Feitianshan Formation","Sichuan Province, China","Asia","South China","27.8999996","102.300003","sediments",,"K1",,"100","146","stratigraphic",,,
"2713","5636","South Sichuan Sediments","Sichuan Province, China","Asia","South China","27.5","101.800003","sediments","Zhanghe, Xinchun and Zhonggouenshan Formations","J2",,"161","176","stratigraphic",,,
"2713","5637","Fengjiahe and Yimen Formations","Sichuan Province, China","Asia","South China","26.5","102.199997","sediments",,"J1",,"176","200","stratigraphic",,,
"2713","5638","South Sichuan Sediments","Sichuan Province, China","Asia","South China","26.6000004","101.699997","sediments","Xujiahe, Bingnam and Boujawan Formations","T3",,"200","228","stratigraphic",,,
"2713","5639","Leikupo Formation","Sichuan Province, China","Asia","South China","28.2999992","103.0","sediments",,"T2",,"228","245","stratigraphic",,,
"2713","5640","Yantang Formation","Sichuan Province, China","Asia","South China","27.3999996","101.5","sediments",,"T2",,"228","245","stratigraphic",,,
"2713","5641","Jialingjiang Formation","Sichuan Province, China","Asia","South China","28.2000008","103.0","sediments",,"T1",,"245","251","stratigraphic",,,
"2713","5642","Lamei and Qingtianbao Formations","Sichuan Province, China","Asia","South China","27.3999996","101.0","sediments",,"T1",,"245","251","stratigraphic",,,
"2714","5643","Andesites and Tuffs","Shandong Province, China","Asia","North China","35.9000015","119.400002","extrusives, andesites, tuffs","Correlated with Bingshan Formation","K1",,"100","146","correlation",,,
"2714","5644","Chaochuan and Guantuo Formations","Zhejiang Province, China","Asia","South China","29.7000008","120.300003","sediments, redbeds, tuffs",,"K1","50 km","100","146","stratigraphic",,,
"2714","5645","Laiyang Formation","Shandong Province, China","Asia","North China","35.9000015","119.400002","sediments, sandstones",,"J3",,"146","161","stratigraphic",,,
"2714","5646","Zhejiang Ignimbrites and Sandstones","Zhejiang Province, China","Asia","North China","29.3999996","120.0","extrusives, ignimbrites, sediments","Huanjian, Laocun and Tongshan Formations","J3",,"146","161","stratigraphic",,,
"2714","5647","Santai Formation","Shandong Province, China","Asia","North China","36.5999985","117.900002","sediments, siltstones",,"J2-3",,"146","176","stratigraphic",,"West of Tanlu fault",
"2714","5648","Ziliujing Formation","Guizhou Province, China","Asia","South China","26.6000004","106.699997","sediments, redbeds",,"J2",,"161","176","stratigraphic",,,
"2714","5649","Dulaying Dolomite","Guizhou Province, China","Asia","South China","26.7000008","106.699997","sediments, pink dolomite",,"T2",,"228","245","stratigraphic",,,
"2714","5650","Shiqianfeng Formation","Liaoning, China","Asia","North China","41.2999992","123.699997","sediments, redbeds",,"P3",,"251","260","stratigraphic",,,
"2714","5651","Liujiagou Formation","Taiyuan, Shanxi Province, China","Asia","North China","37.7999992","112.300003","sediments, redbeds",,"T1",,"245","251","stratigraphic",,,
"2714","5652","Changxing Formation","Zhejiang Province, China","Asia","South China","31.0","119.800003","sediments, limestones","Type section","P3",,"251","254","fossils",,,
"2714","5653","Upper Shihezi Formation","Taiyuan, Shanxi Province, China","Asia","North China","37.7999992","112.300003","sediments, mudstones",,"P3",,"251","260","stratigraphic",,,
"2714","5654","Emeishan Basalt","Guizhou Province, China","Asia","South China","26.3999996","105.699997","extrusives, basalts","Longtanian age","P3",,"254","260","stratigraphic",,,
"2718","5655","East Mendips Volcanics","Southern Britain, U.K.","Europe","East Avalon","51.2000008","-2.5","extrusives, andesites","Early Wenlock age, East Mendips Inlier","S2","Thickness 250m","425","428","fossils",,"Hercynian folding",
"2719","5656","Cupido Limestone","Terreon, Mexico","North America",,"25.2999992","-103.800003","sediments, limestones","Barremian to Aptian age","K1",,"112","130","fossils",,"Dips 27-72 E and W. Folding post-Paleocene pre-Upper Eocene",
"2719","5657","Aurora Limestone","Torreon, Mexico","North America",,"25.2999992","-103.5","sediments, limestones","Aptian to Albian age","K1",,"100","125","fossils",,"Strikes 27-30W, Dips 30-49SW. Folding post-TPA pre-Upper TE",
"2719","5658","Cuesta del Cura Formation","Torreon, Mexico","North America",,"25.0","-103.300003","sediments, limestones","Mid-Albian to Early Cenomanian age","K1",,"97","106","fossils",,"Strike 80-89E,Dips 25N, 46S. Folding post TPA, pre Upper TE",
"2720","5659","Scanian Basalts","Southern Sweden","Europe",,"55.5","14.0","extrusives, basalts","Post Rhaetian, probably Toarcian to Aalenian","J1-2",,"176","183","fossils","K-Ar ages range 111-171 and 81-134 Ma (too young)",,
"2721","5660","Ferrar dolerites","Northern Prince Albert Mountains, Antarctica","Antarctica","East Antarctica","-75.0","161.600006","intrusives, dolerites",,"J2",,"175","178","40Ar/39Ar","40Ar/39Ar(174+/-1,177+/-2 Ma);Kirkpatrick Bst 176.6+/-1.8 Ma",,
"2722","5661","Kungkuan and Chiopanshan Volcanics","Taiwan","Asia",,"24.8999996","121.400002","extrusives, basalts",,"N1",,"8","23","fossils","Chiopanshan basalts K-Ar 7.9+/-0.5 and 10.1+/-0.6 Ma",,
"2722","5662","Chilung Volcanics","Taiwan","Asia",,"25.0","121.800003","extrusives, dacites",,"N3",,"1","2","K-Ar","K-Ar age 1.2+/-0.1 Ma",,
"2723","5663","Dingle Group","SW Ireland","Europe",,"52.2000008","-10.0","sediments, redbeds","Upper Ludlow age","S3",,"419","421","fossils",,"Folding Late Silurian to mid-Devonian.Dips 11-85 SE and NW",
"2724","5664","Zhidan Group","Shaanxi Province, China","Asia","North China","35.0999985","107.599998","sediments, sandstones",,"K1","Thickness 1500m","100","146","fossils",,"Dips <5 degrees",
"2725","5665","Griotte Limestones","Algeria","Africa",,"30.0","-2.0","sediments, limestones","Famennian age","D3","1 sq km","359","375","fossils",,,
"2726","5666","Brewer Conglomerate","Northern Territory, Australia","Australia",,"-23.8999996","133.699997","sediments, sandstones","Famennian age","D3",,"359","375","fossils",,,
"2727","5667","Browgill Formation","NW England, U.K.","Europe","East Avalon","54.4000015","-2.5","sediments, redbeds","Telychian age (Stockdale Subgroup, Windemere Group)","S1",,"428","436","fossils",,"Deformation mid-Devonian",
"2728","5668","Lower Tiguentourine Formation","Algeria","Africa",,"27.7000008","9.0","sediments, redbeds","Stephano-Autunian age","C2-P1","10 km","276","307","fossils",,"Horizontal strata",
"2729","5669","Barrendian Basin Volcanics and Sediments","Bohemia, Czech Republic","Europe","Bohemian Massif","49.7999992","13.6999998","extrusives, sediments","Upper Arenig and Lower Llanvirn age","O1-2",,"470","475","fossils",,"Early Carboniferous folding",
"2730","5670","Siwalik Group","West central Nepal","Asia",,"27.7000008","83.5","sediments, sandstones",,"N1","Thickness 1710m","6","11","magnetostratigraphy",,,
"2731","5671","Springdale Group","Newfoundland, Canada","North America",,"49.5","-56.2000008","sediments, redbeds","Overlies dated volcanics conformably (U-Pb 425+/-3Ma at top)","S2-4",,"416","428","U-Pb,stratigraphic","Underlying volcanics U-Pb age 425+/-3 Ma","Early Devonian folding",
"2732","5672","Browns Creek Formation","Victoria, Australia","Australia",,"-38.7999992","143.399994","sediments, red-brown clays","Late Eocene age","E2",,"34","39","fossils",,,
"2733","5673","Rhodope Massif Volcanics","Northern Greece","Europe",,"41.2999992","24.2000008","extrusives, intrusives","Oligocene to Early Miocene","E3-N1","20,000 sq km","16","34","stratigraphic,K-Ar","K-Ar ages 18-33 Ma",,
"2734","5674","Tonggo Formation","South Korea","Asia",,"37.2000008","128.800003","sediments, sandstones",,"T1-2",,"228","251","stratigraphic",,"Late Jurassic-Early Cretaceous deformation",
"2734","5675","Kohan and Tosagok Formations","South Korea","Asia",,"37.2000008","128.800003","sediments, sandstones, shales","Kazanian to Tartarian age","P3",,"245","256","stratigraphic",,,
"2734","5676","Manhang Formation","South Korea","Asia",,"37.2000008","128.800003","sediments, redbeds","Lower Moscovian age for overlying beds","C2",,"304","310","stratigraphic",,,
"2736","5677","Permian Redbeds","Tanzania","Africa",,"-8.5","35.4000015","sediments, redbeds","K3 Songwe-Kiwira, Ndeke Beds (Kungurian to mid-Wordian age)","P1-2",,"267","276","fossils",,"Dips 20-35W, 20-30E",
"2736","5678","Songwe-Kiwira K5 Redbeds","Tanzania","Africa",,"-9.19999981","34.0999985","sediments, redbeds","Capitanian-Longtananian","P2-3",,"254","266","fossils",,,
"2737","5679","Upper Permian Limestones","Northern Thailand","Asia","Indochina","16.7000008","101.800003","sediments, limestones",,"P3",,"251","260","fossils",,"Pre-Late Triassic folding",
"2737","5680","Huai Hin Lat Formation","Northern Thailand","Asia","Indochina","16.7000008","101.800003","sediments, limestones, sandstones","Norian age","T3",,"204","217","fossils",,,
"2737","5681","Nam-Phong Formation","Northern Thailand","Asia","Indochina","16.7000008","101.800003","sediments, redbeds","Post Norian pre Middle Jurassic","T3-J1",,"176","204","stratigraphic",,,
"2737","5682","Sao Khua Formation","Khorat Basin, Thailand","Asia","Indochina","16.6000004","103.0","sediments, redbeds",,"J3",,"146","161","fossils",,"Dips <10 degrees",
"2737","5683","Khok Kruat Formation","Khorat Basin, Thailand","Asia","Indochina","16.2000008","102.599998","sediments","Aptian to Albian age","K1",,"100","125","fossils",,,
"2738","5684","Xinlong Formation","Guangxi Province, China","Asia","South China","22.7000008","108.699997","sediments, redbeds",,"K1",,"100","146","fossils",,"Dips 10-40 NW to SE",
"2738","5685","Upper Series Deposits","Guangxi Province, China","Asia","South China","22.2000008","108.699997","sediments, redbeds",,"K2",,"65","100","stratigraphic",,"Strike 40/Dip 14 SE",
"2738","5686","Liuchou and Nadu Formations","Guangxi Province, China","Asia","South China","23.6000004","107.0","sediments, redbeds","Late Paleocene and Eocene","E1-E2",,"34","60","fossils",,"Dips 78W and 49NE",
"2738","5687","Shanxian Formation","Fujian Province, China","Asia","South China","26.0","117.400002","sediments, redbeds",,"K2",,"65","100","fossils",,"Dips 25SW and 35NE",
"2738","5688","Sanshui Formation","Guangdong Province, China","Asia","South China","23.1000004","113.300003","sediments, redbeds",,"K2",,"65","100","fossils",,"Strike 328.1/Dip 29.3 NE",
"2739","5689","Maiolica Formation","Switzerland, Northern Italy","Europe",,"46.0","12.0","sediments, limestones","Valanginian to Barremian","K1",,"125","140","fossils",,,
"2740","5690","Luchob Formation","Ghissar Range, S.Tien Shan, Tajikistan","Asia",,"38.7999992","68.6999969","extrusives, andesites, rhyolites",,"P1",,"271","299","fossils",,,
"2740","5691","Hanaka Formation","Ghissar Range, S.Tien Shan, Tajikistan","Asia",,"38.7999992","68.5999985","sediments, redbeds, conglomerates","Overlies Luchob Formation (PL)","P2-3","5km,1200m thick","251","271","stratigraphic",,,
"2740","5692","Madighen Formation","S.Ferghana, Uzbekistan","Asia","Ferghana","40.0","70.1999969","sediments, redbeds","Ladinian to Carnian age","T2-3","1.5km,100m th","217","237","fossils",,,
"2741","5693","Tortonian Marls","Sierra Espuna, Spain","Europe",,"37.9000015","-1.60000002","sediments, marls","Tortonian age","N1",,"7","10","fossils",,"Dips 10NW",
"2741","5694","Amalaya Formation","Sierra Espuna, Spain","Europe",,"37.9000015","-1.60000002","sediments, marls","Late Oligocene to Aquitanian","E3-N1",,"21","29","fossils",,,
"2741","5695","Bosque Formation","Sierra Espuna, Spain","Europe",,"37.9000015","-1.60000002","sediments, marls",,"E3",,"23","35","fossils",,,
"2741","5696","Jurassic Limestones","Sierra Espuna, Spain","Europe",,"37.9000015","-1.60000002","sediments, limestones",,"J3",,"146","161","fossils",,,
"2741","5697","Permo-Triassic Sediments","Sierra Espuna, Spain","Europe",,"37.9000015","-1.60000002","sediments, redbeds",,"P3-T1",,"245","260","stratigraphic",,,
"2742","5698","Zhengfeng Sandstones","South Guizhou Province, China","Asia","South China","25.2999992","105.400002","sediments, sandstones",,"T2",,"228","245","fossils",,"Folding Early Jurassic? Dips 45-65NW and 45-70SW",
"2742","5699","Zhengfeng Limestone","South Guizhou Province, China","Asia","South China","25.2999992","105.300003","sediments, limestones",,"T2",,"228","245","fossils",,"Folding Early Jurassic? Dips 25-45S",
"2743","5700","Kerforne Dykes","Brittany, France","Europe",,"48.2999992","-4.5","intrusives, dolerites",,"J1",,"188","192","K-Ar,40Ar/39Ar","Old K-Ar ages 155-208;40Ar/39Ar 190+/-2;New K-Ar 200+/-8 Ma",,
"2744","5701","St.Affrique Basin Sediments","Massif Central, France","Europe",,"44.0","2.79999995","sediments, sandstones","Formations F1-F2a, Upper Autunian age","P1",,"271","285","stratigraphic",,,
"2744","5702","St.Affrique Basin Sediments","Massif Central, France","Europe",,"44.0","2.79999995","sediments, sandstones","Formations F2b, F3, F4 and F5","P2-3",,"251","271","stratigraphic",,,
"2745","5703","Western Taurides Sediments","Southwestern Turkey","Middle East",,"37.0","32.0","sediments, limestones","Late Paleocene to Eocene","E1-E2",,"34","61","stratigraphic",,,
"2745","5704","Western Taurides Sediments","Southwest Turkey","Middle East",,"36.2999992","32.9000015","sediments, limestones, marls","Lower Miocene age, Ermenek Basin","N1",,"16","23","stratigraphic",,,
"2746","5705","Jingxing Formation","Western Yunnan Province, China","Asia","Simao","25.5","99.5","sediments, redbeds",,"K1",,"100","146","fossils",,"Dips 16-70 degrees",
"2747","5706","Trubi Formation","Southern Sicily, Italy","Europe",,"37.2999992","13.6000004","sediments, marls","Cochiti Reversal section","N2",,"3","4","magnetostratigraphy",,"Strike 354/Dip 13E",
"2748","5707","Kavur Tepe Sediments","Southwestern Turkey","Middle East",,"38.0","30.7999992","sediments, limestones","Norian age","T3",,"204","217","fossils",,,
"2749","5708","Devonian Andesites and Redbeds","Ningxia Province, China","Asia","North China","37.7000008","105.5","extrusives,andesites,sediments,redbeds",,"D2-3","500 km","359","398","fossils",,,
"2749","5709","Silurian Sediments","Ningxia Province, China","Asia","North China","37.4000015","105.599998","sediments,redbeds,limestones,sandstones",,"S2-4",,"416","428","fossils",,,
"2750","5710","Nanxing Formation","Yunnan Province, China","Asia","Simao","25.6000004","100.199997","sediments, purple sandstones, siltstones","Stated to be Middle Cretaceous","K1-2",,"86","130","stratigraphic",,"Dips 28-34SW, 36-41NE and 48-71E",
"2750","5711","Mangang Formation","Yunnan Province, China","Asia","Simao","22.5","101.199997","sediments","Stated to be Middle Cretaceous","K1-2",,"86","130","stratigraphic",,"Dips 23SE and 52NE",
"2750","5712","Bazhulu Formation","Yunnan Province, China","Asia","Simao","25.3999996","100.199997","sediments, redbeds",,"J3",,"146","161","stratigraphic",,"Dips 14-22NE",
"2750","5713","Hepingxiang Formation","Yunnan Province, China","Asia","Simao","23.6000004","100.5","sediments, siltstones, mudstones",,"J2",,"161","176","stratigraphic",,"Dips 12-26 SE and SW",
"2750","5714","Mengga Formation","Yunnan Province, China","Asia","Simao","24.2999992","98.4000015","sediments, sandstones, siltstones",,"J2",,"161","176","stratigraphic",,,
"2751","5715","Red Lake Greenstone Belt Batholiths","Ontario, Canada","North America","Superior Province","51.0999985","-93.9000015","intrusives, granites","Hammell Lake, Killala Baird, Little Vermilion, Trout Lake","NA",,"2700","2730","U-Pb","U-Pb ages 2700-2730 Ma",,
"2751","5716","Deformation zone rocks","Ontario, Canada","North America","Superior Province","51.0999985","-93.9000015","metamorphics,altered diorite,lamprophyre","Related to gold mineralization","NA",,"2570","2635","40Ar/39Ar","40Ar/39Ar ages 2570-2635 at tail of cooling curve",,
"2752","5717","Springdale Group Volcanics","Newfoundland, Canada","North America",,"49.2999992","-56.2999992","extrusives, basalts, andesites",,"S1-2",,"425","434","U-Pb","U-Pb ages, youngest unit 429+6-5 Ma, oldest 432.4+1.7-1.4 Ma",,
"2752","5718","Springdale Group Redbeds","Newfoundland, Canada","North America",,"49.2999992","-56.2999992","sediments, redbeds","Interbedded with volcanics","S1-2",,"425","434","U-Pb","U-Pb age interbedded volcanics 425-434 Ma (ROCKUNITNO 5717)",,
"2753","5719","Wanganui Basin Sediments","North Island, New Zealand","Pacific Ocean",,"-40.0","175.300003","sediments","Age range 0.6-1.6 Ma suggested","N3",,"0","2","Fiss.track,magnetostratigraphy","Fission track ages 0.45 to 1.63 Ma",,
"2754","5720","Central Kerala Dykes","India","Asia","India","9.69999981","76.6999969","intrusives, dolerites","May be related to Deccan volcanism","K2",,"68","70","40Ar/39Ar","40Ar/39Ar age 69+/-1 Ma",,
"2754","5721","Central Kerala Gabbro Dyke","India","Asia","India","9.69999981","76.6999969","intrusives, gabbro",,"K2",,"78","84","K-Ar","K-Ar age 81+/-3 Ma",,
"2755","5722","Yunosawagawa Formation","NE Japan","Asia",,"40.0","141.0","extrusives, welded tuffs",,"E3",,"32","34","K-Ar,fission track",,,
"2755","5723","NE Japan Welded Tuffs","NE Japan","Asia",,"40.0","141.0","extrusives, welded tuffs","Kunitomi, Okatongawa, Formations","E3",,"25","27","K-Ar,fission track",,,
"2755","5724","NE Japan Welded Tuffs","NE Japan","Asia",,"40.0","141.0","extrusives, welded tuffs","Fukuyama, Nisatai, Daijima, Zentoki, Masikozama Formations","N1",,"20","23","K-Ar,fission",,,
"2755","5725","NE Japan Welded Tuffs","NE Japan","Asia",,"40.0","141.0","extrusives, welded tuffs","Masukawa, Ohtose, Yashiozawagawa Formations","N1",,"16","18","K-Ar,fission track",,,
"2755","5726","NE Japan Welded Tuffs","NE Japan","Asia",,"40.0","141.0","extrusives, welded tuffs","Kiritoshi, Okuramata, Narasawa Formations","N1",,"10","14","K-Ar,fission track",,,
"2755","5727","NE Japan Welded Tuffs","NE Japan","Asia",,"40.0","141.0","extrusives, welded tuffs","Itskaichi and Azukizawa Formations","N1",,"5","7","K-Ar,fission track",,,
"2755","5728","Gonenzaki Formation","NE Japan","Asia",,"41.0999985","140.300003","extrusives, welded tuffs","Early Miocene","N1",,"16","23","stratigraphic",,,
"2756","5729","Prezzo Limestone and Buchenstein Formation","Northern Italy","Europe",,"46.0","10.5","sediments, limestones","Anisian age. Intruded by Adamello Batholith (30-42 Ma)","T2",,"237","245","fossils",,,
"2757","5730","Malokuril Formation","Shikotan Island, Kuril Arc, Russia","Asia",,"43.5","146.800003","sediments, siltstones, sandstones","Maastrichtian age","K2",,"65","71","fossils",,,
"2758","5731","Cretaceous Redbeds","Aksu, Tajik Basin, Tajikistan","Asia",,"38.0999985","68.6999969","sediments, redbeds","Valanginian to Aptian or Albian","K1",,"100","140","stratigraphic",,,
"2758","5732","Cretaceous Redbeds","Derbent, Tajik Basin, Tajikistan","Asia",,"38.0999985","66.9000015","sediments, redbeds","Valanginian to Aptian or Albian","K1",,"100","140","stratigraphic",,,
"2758","5733","Cretaceous Redbeds","Takob, Tajik Basin, Tajikistan","Asia",,"38.7999992","69.0","sediments, redbeds","Valanginian to Aptian or Albian","K1",,"100","140","stratigraphic",,,
"2758","5734","Cretaceous Redbeds","South Darvaz, Tajik Basin, Tajikistan","Asia",,"37.9000015","70.1999969","sediments, redbeds","Valanginian to Aptian or Albian","K1",,"100","140","stratigraphic",,,
"2759","5735","Willwood Formation","Wyoming, U.S.A.","North America",,"44.2000008","-108.5","sediments, sandstones, siltstones","Lower Eocene","E2",,"52","56","fossils",,,
"2760","5736","Mayerling Section","Austria","Europe",,"48.0","15.5","sediments, limestones","Lowest Carnian age","T3",,"223","228","fossils",,"Dips 40SE and 55SE",
"2760","5737","Erenkolu Mezarlik Section 1","Southern Turkey","Middle East",,"36.7000008","30.6000004","sediments, limestones","Lower Carnian","T3",,"222","238","fossils",,,
"2760","5738","Erenkolu Mezarlik Section 2","Southern Turkey","Middle East",,"36.7000008","30.6000004","sediments, limestones","Upper Carnian","T3",,"217","222","fossils",,,
"2761","5739","Batusimpang Lavas","Sulawesi, Indonesia","Asia",,"-0.699999988","123.400002","extrusives, basalts","Balantok ophiolite","K2","Thickness 500m","91","95","K-Ar","K-Ar ages range 16-93Ma;Oldest age 93+/-2Ma regarded correct","Strike 215/Dip 34NW",
"2761","5740","Binsil Lavas","Sulawesi, Indonesia","Asia",,"-0.600000024","123.400002","extrusives, pillow basalts","Balantok ophiolite","K2",,"91","95","K-Ar","K-Ar ages range 16-93Ma;Oldest age 93+/-2Ma regarded correct",,
"2761","5741","Boba Cherts","Sulawesi, Indonesia","Asia",,"-1.70000005","121.800003","sediments, cherts","Balantok ophiolite","K2",,"91","95","K-Ar","K-Ar age of basalts in sequence 93+/-2 Ma",,
"2762","5742","Grays River Formation","Nova Scotia, Canada","North America",,"45.0","-63.0","sediments, dolostones","Grays River zinc-lead deposit - Visean sediments","C1",,"326","359","fossils",,,
"2763","5743","Daye Formation","Hunan Province, China","Asia","South China","29.5","110.0","sediments, limestones, marls","Induan age","T1",,"250","251","fossils",,,
"2763","5744","Jianglingjiang Formation","Hunan Province, China","Asia","South China","29.5","110.0","sediments, limestones",,"T2",,"235","241","stratigraphic",,,
"2764","5745","Changxing Formation","Zhejiang Province, China","Asia","South China","31.0","120.0","sediments, limestones","Changxingian age","P3",,"251","254","fossils",,,
"2764","5746","Yinleng Formation","Zhejiang Province, China","Asia","South China","31.0","120.0","sediments, limestones",,"T1",,"245","251","fossils",,,
"2765","5747","Eugenia Formation","Baja California, Mexico","North America",,"27.6000004","-114.800003","extrusives, pillow lavas","Tithonian to Valanginian age","J3-K1",,"136","151","fossils",,,
"2765","5748","San Hippolito Formation","Baja California, Mexico","North America",,"27.0","-114.0","extrusives, sediments, limestones","Includes La Costa ophiolite","T3-J1",,"176","228","fossils",,,
"2766","5749","Lower Cabo de Gata Volcanics","Cabo de Gata, Spain","Europe",,"36.7999992","-2.0999999","extrusives, dacites, andesites","Lower units in sequence","N1",,"10","15","K-Ar",,,
"2766","5750","Upper Units Cabo de Gata Volcanics","Cabo de Gata, Spain","Europe",,"36.9000015","-2.0","extrusives, dacites,andesites,sediments","Upper units in sequence","N1",,"6","10","K-Ar,stratigraphic",,,
"2767","5751","Cretaceous Volcanics and Sediments","Central Cuba","Atlantic Ocean","Zaza","22.2000008","-79.9000015","extrusives,basalts,sediments,limestones","Aptian to Santonian","K1-2",,"83","125","stratigraphic",,,
"2768","5752","Clam Bank Formation","Western Newfoundland, Canada","North America",,"48.7000008","-59.0","sediments","Pridoli age","S4","80 km","416","419","fossils",,"Dips 40-50NW and overturned",
